@relation labelRelatednessMeasurer

@attribute bestSenseRelatedness numeric
@attribute maxSenseRelatedness numeric
@attribute avgSenseRelatedness numeric
@attribute weightedAvgSenseRelatedness numeric
@attribute concatenationPriorLinkProbability numeric
@attribute concatenationOccurances numeric
@attribute relatedness numeric

@data
0.746396,0.746396,0.746396,0.746396,0,0,0.748
0.822559,0.822559,0.683906,0.71833,0,0,0.845
0.76839,0.817789,0.793089,0.785698,0,0,0.806
0.789773,0.814282,0.736802,0.752081,0,0,0.808
0.811015,0.811015,0.794346,0.799334,0,0,0.802
0.795917,0.795917,0.75538,0.754939,0,0,0.811
0.706022,0.737571,0.648586,0.65421,0,0,0.792
0.740628,0.76173,0.71964,0.733667,0,0,0.794
0.493728,0.493728,0.453893,0.462765,0,0,0.385
0.428989,0.428989,0.428989,0.428989,0,0,0.281
0.682051,0.682051,0.682051,0.682051,0,0,0.665
0.345426,0.345426,0.345426,0.345426,0,0,0.177
?,0,0,0,0,0,0.604
0.62681,0.64119,0.528132,0.527117,0,0,0.658
0.790368,0.790368,0.785514,0.785644,0,0,0.685
0.514554,0.575471,0.541413,0.543889,0,0,0.292
?,0,0,0,0,0,0.369
?,0,0,0,0,0,0.215
0.718924,0.783087,0.5389,0.603737,0,0,0.725
0.571788,0.588218,0.541573,0.542994,0,0,0.5
?,0,0,0,0,0,0.192
0.565596,0.600176,0.582886,0.582732,0,0,0.59
0.719032,0.815204,0.714979,0.716686,0,0,0.742
0.494675,0.494675,0.494675,0.494675,0,0,0.727
?,0,0,0,0.090909,2.484907,0.181
0.514028,0.539765,0.472705,0.467335,0,0,0.506
0.608517,0.608517,0.608517,0.608517,0,0,0.509
0.593244,0.593244,0.473751,0.501123,0.043062,5.407172,0.678
0.639795,0.639795,0.639795,0.639795,0,0,0.694
0.660142,0.660142,0.574891,0.576604,0,0,0.294
0.596007,0.596007,0.524391,0.56468,0,0,0.563
0.599658,0.599658,0.599658,0.599658,0,0,0.753
0.672783,0.672783,0.634114,0.635099,0,0,0.456
0.621964,0.621964,0.621964,0.621964,0,0,0.634
0.543714,0.61954,0.571536,0.554907,0,0,0.656
0.683086,0.683086,0.650617,0.674116,0,0,0.238
0.473285,0.473285,0.473285,0.473285,0,0,0.222
0.542319,0.542319,0.470582,0.491482,0,0,0.447
0.626068,0.653239,0.578438,0.607675,0,0,0.534
0.540176,0.590399,0.506135,0.512153,0,0,0.369
0.431897,0.511286,0.443922,0.467767,0,0,0.3
0.752453,0.796123,0.706846,0.72636,0,0,0.622
0.394445,0.565262,0.426759,0.41924,0.46789,7.287561,0.65
0.621656,0.621656,0.46497,0.48588,0.041667,3.912023,0.391
0.537341,0.537341,0.537341,0.537341,0,0,0.256
0.585105,0.738675,0.662132,0.651784,0,0,0.563
?,0,0,0,0,0,0.119
0.666997,0.666997,0.666997,0.666997,0,0,0.331
0.577149,0.577149,0.475057,0.468586,0,0,0.663
0.618951,0.714846,0.54274,0.567804,0,0,0.369
0.734171,0.734171,0.685964,0.66666,0,0,0.588
0.580076,0.580076,0.580076,0.580076,0,0,0.703
0.643883,0.643883,0.570362,0.588128,0,0,0.547
0.624611,0.681001,0.45611,0.487184,0,0,0.497
0.481452,0.554091,0.485078,0.483223,0,0,0.519
0.69805,0.713434,0.669966,0.672892,0.212121,6.2106,0.703
0.384416,0.384416,0.384416,0.384416,0,0,0.344
0.429158,0.503006,0.466082,0.454657,0,0,0.231
0.756747,0.843351,0.587622,0.56719,0,0,0.813
0.558256,0.558256,0.558256,0.558256,0,0,0.463
0.539055,0.634381,0.555022,0.557641,0,0,0.503
0.614664,0.614664,0.581788,0.578506,0,0,0.669
0.428202,0.429542,0.39716,0.406621,0,0,0.325
0.564098,0.657625,0.610862,0.608469,0,0,0.563
0.5384,0.5384,0.476591,0.487519,0,0,0.369
0.396625,0.488136,0.423905,0.419111,0,0,0.294
0.370062,0.512442,0.440412,0.440131,0,0,0.528
0.689589,0.739685,0.690093,0.690613,0,0,0.644
0.58659,0.621004,0.556446,0.57167,0.151316,5.278115,0.413
0.606233,0.667583,0.597426,0.614376,0,0,0.475
0.505325,0.505325,0.478041,0.484311,0,0,0.494
0.594665,0.629029,0.57589,0.570467,0.253296,8.559486,0.806
0.538464,0.652933,0.5517,0.571884,0.024691,4.820282,0.531
0.421663,0.421663,0.421663,0.421663,0,0,0.803
0.591189,0.591189,0.502036,0.53193,0,0,0.594
0.475744,0.475744,0.475744,0.475744,0,0,0.6
0.440646,0.440646,0.429394,0.430957,0,0,0.541
0.782733,0.782733,0.525645,0.653303,0,0,0.672
0.586808,0.586808,0.497943,0.509382,0,0,0.8
0.740213,1,0.71782,0.698128,0,0,0.888
0.73168,0.73168,0.569982,0.685835,0,0,0.688
0.340761,0.487233,0.414011,0.392967,0,0,0.175
0.719398,0.719398,0.658871,0.66325,0.02381,4.007333,0.425
0.541717,0.553074,0.519708,0.525686,0,0,0.388
0.761923,0.798785,0.757921,0.761415,0,0,0.648
0.774843,0.774843,0.691799,0.72494,0,0,0.844
0.631804,0.631804,0.571949,0.587483,0.38,4.158883,0.75
0.689482,0.752699,0.620188,0.632252,0,0,0.859
0.529147,0.706171,0.569457,0.551746,0,0,0.634
0.727027,0.727027,0.698871,0.7016,0,0,0.778
1,1,0.690693,0.770057,0,0,0.922
0.503944,0.529395,0.48392,0.483372,0,0,0.738
0.765792,0.765792,0.69006,0.706956,0.191446,7.640604,0.85
0.757602,0.757602,0.627086,0.650361,0.144737,4.382027,0.831
0.660529,0.660529,0.524532,0.533698,0.220217,6.539586,0.647
0.747576,0.763376,0.722421,0.72879,0.03231,7.025538,0.789
0.4991,0.564696,0.471254,0.46018,0,0,0.597
0.655821,0.655821,0.544399,0.559955,0,0,0.747
0.546083,0.546083,0.546083,0.546083,0,0,0.747
0.685229,0.686045,0.685637,0.68551,0,0,0.834
0.789292,0.789292,0.710231,0.728713,0,0,0.87
0.607698,0.607698,0.570714,0.579607,0,0,0.781
0.616192,0.616192,0.616192,0.616192,0,0,0.57
0.577478,0.577478,0.45671,0.459458,0.014085,4.304065,0.634
0.674592,0.720546,0.601561,0.60565,0.01157,6.542472,0.836
0.756884,0.756884,0.638886,0.656958,0,0,0.831
0.781706,0.807593,0.693105,0.697684,0,0,0.881
0.762577,0.768995,0.722893,0.720189,0,0,0.853
0.377289,0.408485,0.392887,0.389347,0.496945,9.651173,0.794
0.584981,0.725358,0.571692,0.525939,0,0,0.625
0.802136,0.802136,0.700338,0.722065,0.260434,8.18535,0.772
0.544185,0.544185,0.446483,0.440804,0,0,0.375
0.408197,0.408197,0.408197,0.408197,0,0,0.369
0.712971,0.812791,0.632388,0.60908,0,0,0.744
0.679068,0.740135,0.620731,0.6422,0.296935,7.227662,0.641
0.482526,0.550732,0.513211,0.499103,0.317047,7.388946,0.625
0.397175,0.397175,0.368963,0.377282,0,0,0.263
0.577779,0.577779,0.490182,0.503901,0,0,0.469
0.662206,0.703518,0.577757,0.659266,0,0,0.731
0.799175,0.799175,0.799175,0.799175,0,0,0.556
0.755942,0.755942,0.755942,0.755942,0,0,0.783
0.528096,0.528096,0.528096,0.528096,0,0,0.681
0.731049,0.731049,0.723174,0.725373,0,0,0.759
0.596299,0.596299,0.508568,0.523059,0,0,0.719
0.52539,0.624596,0.53148,0.516828,0,0,0.438
0.667801,0.667801,0.667801,0.667801,0,0,0.631
0.577485,0.577485,0.54844,0.557557,0,0,0.603
0.769416,1,0.731454,0.731253,0.204082,6.493754,0.834
0.471943,0.519051,0.476616,0.475958,0.183673,5.988961,0.625
